CN001000000	安徽省
CN002000000	澳门特别行政区
CN003000000	北京市
CN034000000	重庆市
CN004000000	福建省
CN005000000	甘肃省
CN006000000	广东省
CN007000000	广西壮族自治区
CN008000000	贵州省
CN009000000	海南省
CN010000000	河北省
CN011000000	黑龙江省
CN012000000	河南省
CN013000000	湖北省
CN014000000	湖南省
CN015000000	江苏省
CN016000000	江西省
CN017000000	吉林省
CN018000000	辽宁省
CN019000000	内蒙古自治区
CN020000000	宁夏回族自治区
CN021000000	青海省
CN022000000	山东省
CN023000000	上海市
CN024000000	山西省
CN025000000	陕西省
CN026000000	四川省
CN027000000	台湾省
CN028000000	天津市
CN029000000	香港特别行政区
CN030000000	新疆维吾尔自治区
CN031000000	西藏自治区
CN032000000	云南省
CN033000000	浙江省
